Time,Hcell,Sample,Abs_raw,Abs
0,H1_C1,PES_P25G00_AO_S1,1.111,1.08
6,H1_C1,PES_P25G00_AO_S1,0.998,0.965
12,H1_C1,PES_P25G00_AO_S1,0.918,0.886
18,H1_C1,PES_P25G00_AO_S1,0.863,0.83
24,H1_C1,PES_P25G00_AO_S1,0.806,0.774
30,H1_C1,PES_P25G00_AO_S1,0.748,0.716
36,H1_C1,PES_P25G00_AO_S1,0.734,0.702
42,H1_C1,PES_P25G00_AO_S1,0.705,0.673
48,H1_C1,PES_P25G00_AO_S1,0.677,0.644
54,H1_C1,PES_P25G00_AO_S1,0.652,0.62
60,H1_C1,PES_P25G00_AO_S1,0.645,0.612
66,H1_C1,PES_P25G00_AO_S1,0.631,0.598
0,H1_C2,PES_P25G00_AO_S1,0.034,0.003
6,H1_C2,PES_P25G00_AO_S1,0.129,0.097
12,H1_C2,PES_P25G00_AO_S1,0.208,0.175
18,H1_C2,PES_P25G00_AO_S1,0.27,0.238
24,H1_C2,PES_P25G00_AO_S1,0.323,0.29
30,H1_C2,PES_P25G00_AO_S1,0.364,0.332
36,H1_C2,PES_P25G00_AO_S1,0.405,0.373
42,H1_C2,PES_P25G00_AO_S1,0.432,0.4
48,H1_C2,PES_P25G00_AO_S1,0.458,0.425
54,H1_C2,PES_P25G00_AO_S1,0.477,0.444
60,H1_C2,PES_P25G00_AO_S1,0.489,0.457
66,H1_C2,PES_P25G00_AO_S1,0.512,0.479
0,H2_C1,PES_P25G00_AO_S2,1.097,1.066
6,H2_C1,PES_P25G00_AO_S2,1.009,0.976
12,H2_C1,PES_P25G00_AO_S2,0.944,0.912
18,H2_C1,PES_P25G00_AO_S2,0.896,0.864
24,H2_C1,PES_P25G00_AO_S2,0.825,0.793
30,H2_C1,PES_P25G00_AO_S2,0.788,0.756
36,H2_C1,PES_P25G00_AO_S2,0.752,0.72
42,H2_C1,PES_P25G00_AO_S2,0.719,0.687
48,H2_C1,PES_P25G00_AO_S2,0.69,0.657
54,H2_C1,PES_P25G00_AO_S2,0.68,0.648
60,H2_C1,PES_P25G00_AO_S2,0.667,0.634
66,H2_C1,PES_P25G00_AO_S2,0.64,0.607
0,H2_C2,PES_P25G00_AO_S2,0.034,0.003
6,H2_C2,PES_P25G00_AO_S2,0.118,0.085
12,H2_C2,PES_P25G00_AO_S2,0.19,0.158
18,H2_C2,PES_P25G00_AO_S2,0.254,0.221
24,H2_C2,PES_P25G00_AO_S2,0.296,0.264
30,H2_C2,PES_P25G00_AO_S2,0.35,0.318
36,H2_C2,PES_P25G00_AO_S2,0.385,0.353
42,H2_C2,PES_P25G00_AO_S2,0.417,0.385
48,H2_C2,PES_P25G00_AO_S2,0.439,0.406
54,H2_C2,PES_P25G00_AO_S2,0.462,0.43
60,H2_C2,PES_P25G00_AO_S2,0.484,0.452
66,H2_C2,PES_P25G00_AO_S2,0.494,0.461
0,H3_C1,PES_P25G00_AO_S3,1.107,1.076
6,H3_C1,PES_P25G00_AO_S3,0.994,0.961
12,H3_C1,PES_P25G00_AO_S3,0.93,0.898
18,H3_C1,PES_P25G00_AO_S3,0.892,0.859
24,H3_C1,PES_P25G00_AO_S3,0.821,0.788
30,H3_C1,PES_P25G00_AO_S3,0.79,0.758
36,H3_C1,PES_P25G00_AO_S3,0.741,0.709
42,H3_C1,PES_P25G00_AO_S3,0.734,0.702
48,H3_C1,PES_P25G00_AO_S3,0.7,0.667
54,H3_C1,PES_P25G00_AO_S3,0.67,0.638
60,H3_C1,PES_P25G00_AO_S3,0.656,0.623
66,H3_C1,PES_P25G00_AO_S3,0.641,0.608
0,H3_C2,PES_P25G00_AO_S3,0.033,0.002
6,H3_C2,PES_P25G00_AO_S3,0.119,0.086
12,H3_C2,PES_P25G00_AO_S3,0.187,0.154
18,H3_C2,PES_P25G00_AO_S3,0.244,0.212
24,H3_C2,PES_P25G00_AO_S3,0.291,0.259
30,H3_C2,PES_P25G00_AO_S3,0.336,0.304
36,H3_C2,PES_P25G00_AO_S3,0.376,0.344
42,H3_C2,PES_P25G00_AO_S3,0.411,0.379
48,H3_C2,PES_P25G00_AO_S3,0.435,0.402
54,H3_C2,PES_P25G00_AO_S3,0.462,0.429
60,H3_C2,PES_P25G00_AO_S3,0.481,0.448
66,H3_C2,PES_P25G00_AO_S3,0.49,0.458
0,H4_C1,PES_P25G00_AO_S4,1.107,1.076
6,H4_C1,PES_P25G00_AO_S4,1.026,0.994
12,H4_C1,PES_P25G00_AO_S4,0.972,0.939
18,H4_C1,PES_P25G00_AO_S4,0.924,0.892
24,H4_C1,PES_P25G00_AO_S4,0.859,0.827
30,H4_C1,PES_P25G00_AO_S4,0.819,0.787
36,H4_C1,PES_P25G00_AO_S4,0.78,0.748
42,H4_C1,PES_P25G00_AO_S4,0.773,0.741
48,H4_C1,PES_P25G00_AO_S4,0.732,0.7
54,H4_C1,PES_P25G00_AO_S4,0.717,0.684
60,H4_C1,PES_P25G00_AO_S4,0.691,0.658
66,H4_C1,PES_P25G00_AO_S4,0.683,0.65
0,H4_C2,PES_P25G00_AO_S4,0.032,0.001
6,H4_C2,PES_P25G00_AO_S4,0.103,0.071
12,H4_C2,PES_P25G00_AO_S4,0.168,0.135
18,H4_C2,PES_P25G00_AO_S4,0.22,0.188
24,H4_C2,PES_P25G00_AO_S4,0.265,0.233
30,H4_C2,PES_P25G00_AO_S4,0.31,0.278
36,H4_C2,PES_P25G00_AO_S4,0.346,0.314
42,H4_C2,PES_P25G00_AO_S4,0.368,0.336
48,H4_C2,PES_P25G00_AO_S4,0.396,0.363
54,H4_C2,PES_P25G00_AO_S4,0.42,0.387
60,H4_C2,PES_P25G00_AO_S4,0.448,0.415
66,H4_C2,PES_P25G00_AO_S4,0.457,0.424
