Time,H1_C1,H1_C2,H2_C1,H2_C2,H3_C1,H3_C2,H4_C1,H4_C2
0,1.113,0,1.12,0,1.101,3.00E-04,1.125,0
4,1.06,0.054,1.074,0.062,0.98,0.065,1.054,0.056
21.3,0.898,0.233,0.898,0.222,0.83,0.281,0.878,0.248
24,0.888,0.254,0.894,0.242,0.828,0.304,0.867,0.269
27.5,0.823,0.276,0.838,0.256,0.772,0.331,0.812,0.292
45.6,0.748,0.384,0.781,0.378,0.679,0.443,0.712,0.404
48,0.734,0.396,0.738,0.379,0.689,0.453,0.716,0.429
69.6,0.677,0.466,0.683,0.454,0.636,0.518,0.665,0.499
