Time,Hcell,Sample,Total_Volume_mL,Radius_cm,Membrane_cm,Abs_raw,Abs,C_sample,C_original
4,H3_C2,PES_PEG25_AO_S7,22,0.81,0.11,0.098,0.065,4.8872,48.8722
21.3,H3_C2,PES_PEG25_AO_S7,22,0.81,0.11,0.312,0.281,21.1278,211.2782
24,H3_C2,PES_PEG25_AO_S7,22,0.81,0.11,0.334,0.304,22.8571,228.5714
27.5,H3_C2,PES_PEG25_AO_S7,22,0.81,0.11,0.365,0.331,24.8872,248.8722
45.6,H3_C2,PES_PEG25_AO_S7,22,0.81,0.11,0.478,0.443,33.3083,333.0827
48,H3_C2,PES_PEG25_AO_S7,22,0.81,0.11,0.485,0.453,34.0602,340.6015
69.6,H3_C2,PES_PEG25_AO_S7,22,0.81,0.11,0.554,0.518,38.9474,389.4737
0,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,1.158,1.125,84.5865,845.8647
4,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,1.087,1.054,79.2481,792.4812
21.3,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,0.909,0.878,66.015,660.1504
24,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,0.897,0.867,65.188,651.8797
27.5,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,0.847,0.812,61.0526,610.5263
45.6,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,0.746,0.712,53.5338,535.3383
48,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,0.747,0.716,53.8346,538.3459
69.6,H4_C1,PES_PEG25_AO_S8,22,0.81,0.11,0.701,0.665,50,500
0,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.032,-0.0009,-0.0677,-0.6767
4,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.088,0.056,4.2105,42.1053
21.3,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.279,0.248,18.6466,186.4662
24,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.299,0.269,20.2256,202.2556
27.5,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.327,0.292,21.9549,219.5489
45.6,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.438,0.404,30.3759,303.7594
48,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.461,0.429,32.2556,322.5564
69.6,H4_C2,PES_PEG25_AO_S8,22,0.81,0.11,0.534,0.499,37.5188,375.188
