Time,Hcell,Sample,Abs_raw,Abs,C_sample,C_original
0,H1_C1,PES_P25G00_AO_S1,1.111,1.08,81.818,818.182
6,H1_C1,PES_P25G00_AO_S1,0.998,0.965,73.106,731.061
12,H1_C1,PES_P25G00_AO_S1,0.918,0.886,67.121,671.212
18,H1_C1,PES_P25G00_AO_S1,0.863,0.83,62.879,628.788
24,H1_C1,PES_P25G00_AO_S1,0.806,0.774,58.636,586.364
30,H1_C1,PES_P25G00_AO_S1,0.748,0.716,54.242,542.424
36,H1_C1,PES_P25G00_AO_S1,0.734,0.702,53.182,531.818
42,H1_C1,PES_P25G00_AO_S1,0.705,0.673,50.985,509.848
48,H1_C1,PES_P25G00_AO_S1,0.677,0.644,48.788,487.879
54,H1_C1,PES_P25G00_AO_S1,0.652,0.62,46.97,469.697
60,H1_C1,PES_P25G00_AO_S1,0.645,0.612,46.364,463.636
66,H1_C1,PES_P25G00_AO_S1,0.631,0.598,45.303,453.03
0,H1_C2,PES_P25G00_AO_S1,0.034,0.003,0.227,2.273
6,H1_C2,PES_P25G00_AO_S1,0.129,0.097,7.348,73.485
12,H1_C2,PES_P25G00_AO_S1,0.208,0.175,13.258,132.576
18,H1_C2,PES_P25G00_AO_S1,0.27,0.238,18.03,180.303
24,H1_C2,PES_P25G00_AO_S1,0.323,0.29,21.97,219.697
30,H1_C2,PES_P25G00_AO_S1,0.364,0.332,25.152,251.515
36,H1_C2,PES_P25G00_AO_S1,0.405,0.373,28.258,282.576
42,H1_C2,PES_P25G00_AO_S1,0.432,0.4,30.303,303.03
48,H1_C2,PES_P25G00_AO_S1,0.458,0.425,32.197,321.97
54,H1_C2,PES_P25G00_AO_S1,0.477,0.444,33.636,336.364
60,H1_C2,PES_P25G00_AO_S1,0.489,0.457,34.621,346.212
66,H1_C2,PES_P25G00_AO_S1,0.512,0.479,36.288,362.879
0,H2_C1,PES_P25G00_AO_S2,1.097,1.066,80.758,807.576
6,H2_C1,PES_P25G00_AO_S2,1.009,0.976,73.939,739.394
12,H2_C1,PES_P25G00_AO_S2,0.944,0.912,69.091,690.909
18,H2_C1,PES_P25G00_AO_S2,0.896,0.864,65.455,654.545
24,H2_C1,PES_P25G00_AO_S2,0.825,0.793,60.076,600.758
30,H2_C1,PES_P25G00_AO_S2,0.788,0.756,57.273,572.727
36,H2_C1,PES_P25G00_AO_S2,0.752,0.72,54.545,545.455
42,H2_C1,PES_P25G00_AO_S2,0.719,0.687,52.045,520.455
48,H2_C1,PES_P25G00_AO_S2,0.69,0.657,49.773,497.727
54,H2_C1,PES_P25G00_AO_S2,0.68,0.648,49.091,490.909
60,H2_C1,PES_P25G00_AO_S2,0.667,0.634,48.03,480.303
66,H2_C1,PES_P25G00_AO_S2,0.64,0.607,45.985,459.848
0,H2_C2,PES_P25G00_AO_S2,0.034,0.003,0.227,2.273
6,H2_C2,PES_P25G00_AO_S2,0.118,0.085,6.439,64.394
12,H2_C2,PES_P25G00_AO_S2,0.19,0.158,11.97,119.697
18,H2_C2,PES_P25G00_AO_S2,0.254,0.221,16.742,167.424
24,H2_C2,PES_P25G00_AO_S2,0.296,0.264,20.0,200.0
30,H2_C2,PES_P25G00_AO_S2,0.35,0.318,24.091,240.909
