Time,H1_C1,H1_C2,H2_C1,H2_C2,H3_C1,H3_C2,H4_C1,H4_C2,S5_D,S5_P,S6_D,S6_P,S7_D,S7_P,S8_D,S8_P
0.0,836.842,0.0,842.105,0.0,827.82,0.226,845.865,0.0,,,,,inf,inf,,
4.0,796.992,40.602,807.519,46.616,736.842,48.872,792.481,42.105,2.327,1.939,2.675,2.229,2.625,2.386,2.191,1.992
21.3,675.188,175.188,675.188,166.917,624.06,211.278,660.15,186.466,2.322,1.935,2.161,1.801,2.802,2.547,2.282,2.074
24.0,667.669,190.977,672.18,181.955,622.556,228.571,651.88,202.256,2.316,1.93,2.15,1.792,2.797,2.543,2.266,2.06
27.5,618.797,207.519,630.075,192.481,580.451,248.872,610.526,219.549,2.272,1.893,2.026,1.688,2.793,2.539,2.225,2.023
45.6,562.406,288.722,587.218,284.21,510.526,333.083,535.338,303.759,2.342,1.952,2.247,1.873,2.992,2.72,2.322,2.111
48.0,551.88,297.744,554.887,284.962,518.045,340.602,538.346,322.556,2.362,1.968,2.146,1.788,3.012,2.738,2.505,2.277
69.6,509.023,350.376,513.534,341.353,478.196,389.474,500.0,375.188,2.38,1.983,2.181,1.817,3.393,3.084,2.62,2.381
