Time,Hcell,Sample,Abs_raw,Abs,C_sample,C_original
42,H4_C1,PES_P25G00_AO_S4,0.773,0.741,56.1364,561.3636
48,H4_C1,PES_P25G00_AO_S4,0.732,0.7,53.0303,530.303
54,H4_C1,PES_P25G00_AO_S4,0.717,0.684,51.8182,518.1818
60,H4_C1,PES_P25G00_AO_S4,0.691,0.658,49.8485,498.4848
66,H4_C1,PES_P25G00_AO_S4,0.683,0.65,49.2424,492.4242
0,H4_C2,PES_P25G00_AO_S4,0.032,0.001,0.0758,0.7576
6,H4_C2,PES_P25G00_AO_S4,0.103,0.071,5.3788,53.7879
12,H4_C2,PES_P25G00_AO_S4,0.168,0.135,10.2273,102.2727
18,H4_C2,PES_P25G00_AO_S4,0.22,0.188,14.2424,142.4242
24,H4_C2,PES_P25G00_AO_S4,0.265,0.233,17.6515,176.5152
30,H4_C2,PES_P25G00_AO_S4,0.31,0.278,21.0606,210.6061
36,H4_C2,PES_P25G00_AO_S4,0.346,0.314,23.7879,237.8788
42,H4_C2,PES_P25G00_AO_S4,0.368,0.336,25.4545,254.5455
48,H4_C2,PES_P25G00_AO_S4,0.396,0.363,27.5,275.0
54,H4_C2,PES_P25G00_AO_S4,0.42,0.387,29.3182,293.1818
60,H4_C2,PES_P25G00_AO_S4,0.448,0.415,31.4394,314.3939
66,H4_C2,PES_P25G00_AO_S4,0.457,0.424,32.1212,321.2121
